PlayerName,MatchPlayingOrder,BowlerName,OutDesc,Runs,Balls,DotBalls,Fours,Sixes
Sanju Samson,4,Bhuvneshwar Kumar,c Abdul Samad b Bhuvneshwar Kumar,55,27,9,3,5
Devdutt Padikkal,3,Umran Malik,b Umran Malik,41,29,12,4,2
Shimron Hetmyer,5,T Natarajan,b T Natarajan,32,13,3,2,3
Riyan Parag,6,T Natarajan,c Nicholas Pooran b T Natarajan,12,9,3,2,0
Nathan Coulter-Nile,8,,not out,1,2,1,0,0
Ravichandran Ashwin,7,,,0,0,0,0,0
Prasidh Krishna,9,,,0,0,0,0,0
Trent Boult,10,,,0,0,0,0,0
Yuzvendra Chahal,11,,,0,0,0,0,0
Kane Williamson,3,Prasidh Krishna,c Devdutt Padikkal b Prasidh Krishna,2,7,6,0,0
Abhishek Sharma,1,Yuzvendra Chahal,c Shimron Hetmyer b Yuzvendra Chahal,9,19,13,1,0
Rahul Tripathi,4,Prasidh Krishna,c Sanju Samson b Prasidh Krishna,0,3,3,0,0
Nicholas Pooran,5,Trent Boult,lbw Trent Boult,0,9,9,0,0
Aiden Markram,2,,not out,57,41,10,5,2
Abdul Samad,6,Yuzvendra Chahal,c Riyan Parag b Yuzvendra Chahal,4,6,2,0,0
Romario Shepherd,7,Yuzvendra Chahal,b Yuzvendra Chahal,24,18,8,0,2
Washington Sundar,8,Trent Boult,c Shimron Hetmyer b Trent Boult,40,14,1,5,2
Bhuvneshwar Kumar,9,,not out,3,4,1,0,0
T Natarajan,10,,,0,0,0,0,0
Umran Malik,11,,,0,0,0,0,0
Ajinkya Rahane,2,Mohammed Siraj,c Shahbaz Ahmed b Mohammed Siraj,9,10,5,1,0
Venkatesh Iyer,3,Akash Deep,c & b Akash Deep,10,14,9,1,0
Shreyas Iyer,1,Wanindu Hasaranga,c Faf Du Plessis b Wanindu Hasaranga,13,10,3,2,0
Nitish Rana,4,Akash Deep,c David Willey b Akash Deep,10,5,3,1,1
Sunil Narine,7,Wanindu Hasaranga,c Akash Deep b Wanindu Hasaranga,12,8,4,1,1
Sam Billings,6,Harshal Patel,c Virat Kohli b Harshal Patel,14,15,8,0,1
Sheldon Jackson,8,Wanindu Hasaranga,b Wanindu Hasaranga,0,1,1,0,0
Andre Russell,5,Harshal Patel,c Dinesh Karthik b Harshal Patel,25,18,12,1,3
Tim Southee,9,Wanindu Hasaranga,c Faf Du Plessis b Wanindu Hasaranga,1,5,4,0,0
Umesh Yadav,10,Akash Deep,b Akash Deep,18,12,5,2,1
Varun Chakaravarthy,11,,not out,10,16,12,2,0
Faf Du Plessis,1,Tim Southee,c Ajinkya Rahane b Tim Southee,5,4,2,1,0
Anuj Rawat,2,Umesh Yadav,c Sheldon Jackson b Umesh Yadav,0,2,2,0,0
Virat Kohli,5,Umesh Yadav,c Sheldon Jackson b Umesh Yadav,12,7,3,2,0
David Willey,6,Sunil Narine,c Nitish Rana b Sunil Narine,18,28,20,3,0
Sherfane Rutherford,4,Tim Southee,c Sheldon Jackson b Tim Southee,28,40,21,1,1
Shahbaz Ahmed,8,Varun Chakaravarthy,st Sheldon Jackson b Varun Chakaravarthy,27,20,9,0,3
Dinesh Karthik,3,,not out,14,7,1,1,1
Wanindu Hasaranga,7,Tim Southee,c Andre Russell b Tim Southee,4,3,2,1,0
Harshal Patel,9,,not out,10,6,2,2,0
Mohammed Siraj,10,,,0,0,0,0,0
Akash Deep,11,,,0,0,0,0,0
Robin Uthappa,2,Ravi Bishnoi,lbw Ravi Bishnoi,50,27,9,8,1
Ruturaj  Gaikwad,1,Andrew Tye,run out (Ravi Bishnoi),1,4,3,0,0
Moeen Ali,3,Avesh Khan,b Avesh Khan,35,22,10,4,2
Shivam Dube,5,Avesh Khan,c Evin Lewis b Avesh Khan,49,30,8,5,2
Ambati Rayudu,4,Ravi Bishnoi,b Ravi Bishnoi,27,20,9,2,2
Ravindra Jadeja,6,Andrew Tye,c Manish Pandey b Andrew Tye,17,9,2,3,0
MS Dhoni,7,,not out,16,6,2,2,1
Dwaine Pretorius,9,Andrew Tye,lbw Andrew Tye,0,1,1,0,0
Dwayne Bravo,8,,not out,1,1,0,0,0
Tushar Deshpande,10,,,0,0,0,0,0
Mukesh Choudhary,11,,,0,0,0,0,0
K L Rahul,1,Dwaine Pretorius,c Ambati Rayudu b Dwaine Pretorius,40,26,9,2,3
Quinton De Kock,2,Dwaine Pretorius,c MS Dhoni b Dwaine Pretorius,61,45,15,9,0
Manish Pandey,4,Tushar Deshpande,c Dwayne Bravo b Tushar Deshpande,5,6,3,0,0
Evin Lewis,3,,not out,55,23,4,6,3
Deepak Hooda,5,Dwayne Bravo,c Ravindra Jadeja b Dwayne Bravo,13,8,3,1,1
Ayush Badoni,6,,not out,19,9,2,0,2
Krunal Pandya,7,,,0,0,0,0,0
Andrew Tye,8,,,0,0,0,0,0
Dushmantha Chameera,9,,,0,0,0,0,0
Ravi Bishnoi,10,,,0,0,0,0,0
Avesh Khan,11,,,0,0,0,0,0
Mayank Agarwal,1,Umesh Yadav,lbw Umesh Yadav,1,5,4,0,0
Shikhar Dhawan,2,Tim Southee,c Sam Billings b Tim Southee,16,15,7,1,1
Bhanuka Rajapaksa,3,Shivam Mavi,c Tim Southee b Shivam Mavi,31,9,2,3,3
Liam Livingstone,4,Umesh Yadav,c Tim Southee b Umesh Yadav,19,16,7,1,1
Rajangad Bawa,5,Sunil Narine,b Sunil Narine,11,13,6,1,0
Shahrukh Khan,6,Tim Southee,c Nitish Rana b Tim Southee,0,5,5,0,0
Harpreet Brar,10,Umesh Yadav,b Umesh Yadav,14,18,12,1,1
Odean Smith,7,,not out,9,12,8,0,1
Rahul Chahar,8,Umesh Yadav,c Nitish Rana b Umesh Yadav,0,2,2,0,0
Kagiso Rabada,9,Andre Russell,c Tim Southee b Andre Russell,25,16,8,4,1
Arshdeep Singh,11,Andre Russell,run out (Nitish Rana),0,1,1,0,0
Ajinkya Rahane,1,Kagiso Rabada,c Odean Smith b Kagiso Rabada,12,11,8,3,0
Venkatesh Iyer,2,Odean Smith,c Harpreet Brar b Odean Smith,3,7,4,0,0
Shreyas Iyer,3,Rahul Chahar,c Kagiso Rabada b Rahul Chahar,26,15,5,5,0
Sam Billings,5,,not out,24,23,9,1,1
Nitish Rana,4,Rahul Chahar,lbw Rahul Chahar,0,2,2,0,0
Andre Russell,6,,not out,70,31,10,2,8
Sunil Narine,7,,,0,0,0,0,0
Tim Southee,8,,,0,0,0,0,0
Shivam Mavi,9,,,0,0,0,0,0
Umesh Yadav,10,,,0,0,0,0,0
Varun Chakaravarthy,11,,,0,0,0,0,0
Jos Buttler,1,Jasprit Bumrah,b Jasprit Bumrah,100,68,28,11,5
Yashasvi Jaiswal,2,Jasprit Bumrah,c Tim David b Jasprit Bumrah,1,2,1,0,0
Devdutt Padikkal,4,Tymal Mills,c Rohit Sharma b Tymal Mills,7,7,4,1,0
Sanju Samson,3,Kieron Pollard,c Tilak Varma b Kieron Pollard,30,21,9,1,3
Shimron Hetmyer,5,Jasprit Bumrah,c Tilak Varma b Jasprit Bumrah,35,14,3,3,3
Riyan Parag,6,Tymal Mills,c Tim David b Tymal Mills,5,4,2,1,0
Ravichandran Ashwin,7,Jasprit Bumrah,run out (Tilak Varma),1,1,0,0,0
Navdeep Saini,11,Tymal Mills,c Ishan Kishan b Tymal Mills,2,2,1,0,0
Trent Boult,8,,not out,1,1,0,0,0
Yuzvendra Chahal,9,,,0,0,0,0,0
Prasidh Krishna,10,,,0,0,0,0,0
Ishan Kishan,2,Trent Boult,c Navdeep Saini b Trent Boult,54,43,13,5,1
Rohit Sharma,1,Prasidh Krishna,c Riyan Parag b Prasidh Krishna,10,5,2,0,1
Anmolpreet Singh,3,Navdeep Saini,c Devdutt Padikkal b Navdeep Saini,5,4,2,1,0
Tilak Varma,4,Ravichandran Ashwin,b Ravichandran Ashwin,61,33,8,3,5
Kieron Pollard,6,Navdeep Saini,c Jos Buttler b Navdeep Saini,22,24,17,3,1
Tim David,5,Yuzvendra Chahal,lbw Yuzvendra Chahal,1,3,2,0,0
Daniel Sams,7,Yuzvendra Chahal,c Jos Buttler b Yuzvendra Chahal,0,1,1,0,0
Murugan Ashwin,8,Prasidh Krishna,run out (Sanju Samson),6,8,5,1,0
Jasprit Bumrah,10,,not out,0,1,1,0,0
Tymal Mills,9,,,0,0,0,0,0
